keywords,tf_tc1,tf_t1,ctfidf1,tf_tc2,tf_t2,ctfidf2,tf_tc3,tf_t3,ctfidf3,relative_tf_tc1,relative_tf_tc3,relative_tc_t,,,,relative_A
consume,1210,32022,6874.050246,21744,32022,123528.3872,3533,32022,20071.09051,28.13953488,26.96946565,55.10900053,,,,
shoot,1136,31945,6456.379381,21872,31945,124308.0368,3890,31945,22108.55264,26.41860465,29.69465649,56.11326114,,,,
rise,1308,31695,7444.171566,22120,31695,125890.7302,3802,31695,21638.18065,30.41860465,29.02290076,59.44150541,,,,
prove,1268,31041,7242.87058,20823,31041,118941.8723,3698,31041,21123.13518,29.48837209,28.22900763,57.71737973,,,,
fail,1283,31034,7328.839629,20667,31034,118055.4393,3667,31034,20946.88614,29.8372093,27.99236641,57.82957571,,,,
exist,1163,30963,6646.02247,21311,30963,121782.7901,3841,30963,21949.58926,27.04651163,29.32061069,56.36712231,,,,
link,1320,30937,7544.312161,20919,30937,119560.2016,3185,30937,18203.51078,30.69767442,24.3129771,55.01065152,,,,
address,1267,30798,7247.083301,21256,30798,121581.6911,3663,30798,20951.90697,29.46511628,27.96183206,57.42694834,,,,
sign,1417,30716,8108.830183,21330,30716,122061.6428,3630,30716,20772.79715,32.95348837,27.70992366,60.66341204,,,,
agree,1403,30580,8034.920189,21901,30580,125426.0777,3183,30580,18228.90304,32.62790698,24.29770992,56.9256169,,,,
depend,1335,30561,7646.314157,21995,30561,125978.0374,3439,30561,19697.13437,31.04651163,26.2519084,57.29842002,,,,
deal,1277,30404,7320.670584,20775,30404,119097.0489,3570,30404,20465.77446,29.69767442,27.2519084,56.94958282,,,,
pick,1135,29634,6535.647512,19874,29634,114440.0517,3533,29634,20344.00234,26.39534884,26.96946565,53.36481449,,,,
arrive,1186,29300,6842.720698,19486,29300,112426.0165,3658,29300,21105.11999,27.58139535,27.92366412,55.50505947,,,,
close,1044,29253,6025.111273,19725,29253,113836.5133,4214,29253,24319.74991,24.27906977,32.16793893,56.4470087,,,,
approve,1048,29175,6050.985395,20613,29175,119016.1851,3453,29175,19937.07306,24.37209302,26.35877863,50.73087165,,,,
encourage,1206,29108,6966.016418,19864,29108,114737.1062,3596,29108,20770.97433,28.04651163,27.45038168,55.49689331,,,,
